enabled,display_name,original_name,category,osm_id,source,lat,lon,nearest_graph_node,nearest_distance_m,component_size,note
1,Building A Bicycle Parking Lot,A座自行车停车场,amenity,382883994,named_amenity,28.1543298,112.9364513,9468073870,4.1,1672,recommended
1,Central South University Lunan Campus,中南大学（麓南校区）,amenity,533289733,named_amenity,28.1645896,112.9312249,1659032532,25.5,1672,recommended
1,Building 24,24栋,building,383029907,named_building,28.1669060,112.9324655,9490554024,28.1,1672,recommended
1,Building A,A座,building,382786880,named_building,28.1537414,112.9361222,10969079179,51.4,1672,recommended
1,Building B,B座,building,382796822,named_building,28.1532781,112.9361918,9464597656,37.7,1672,recommended
1,Building C,C座,building,382796818,named_building,28.1525490,112.9363444,9464597657,30.1,1672,recommended
1,Building D,D座,building,381902395,named_building,28.1519275,112.9362002,3860289437,59.6,1672,recommended
1,CSU Security Office,中南大学 保卫科,building,382873118,named_building,28.1509195,112.9312367,9483370957,18.5,1672,recommended
1,CSU Logistics Maintenance Service Center,中南大学后勤保障部修建服务中心,building,1029446397,named_building,28.1676012,112.9316892,9512719785,29.6,1672,recommended
1,"CSU Swimming, Badminton and Basketball Gym",中南大学游泳馆&羽毛球馆&篮球馆,building,983556518,named_building,28.1580755,112.9307462,9457760947,97.2,1672,recommended
1,"CSU Swimming, Badminton and Basketball Gym 2",中南大学游泳馆&羽毛球馆&篮球馆 (2),building,1253865410,named_building,28.1583250,112.9299958,9457760944,45.4,1672,recommended
1,CSU School of Socialism,中南大学社会主义学院,building,382863480,named_building,28.1658459,112.9320781,9512737246,70.3,1672,recommended
1,Yunluyuan Community Service Center,云麓园社区公共服务中心,building,382878553,named_building,28.1674563,112.9328123,9512719783,16.9,1672,recommended
1,School of Chemistry and Chemical Engineering,化学化工学院,building,382873097,named_building,28.1507992,112.9413176,9463877057,43.2,1672,recommended
1,Building B Canteen,B座食堂,canteen,3860991308,named_node,28.1534636,112.9367079,9464597669,77.2,1672,recommended
1,No. 7 Canteen Xiyangyang Supermarket,七食堂喜洋洋超市,canteen,5714793110,named_node,28.1625124,112.9318936,1659009967,12.3,1672,recommended
1,CSU No. 7 Canteen,中南大学七食堂,canteen,381465646,named_amenity,28.1622787,112.9321396,1659009968,34.3,1672,recommended
1,CSU No. 2 Canteen,中南大学二食堂,canteen,1660218369,named_node,28.1624862,112.9299892,1659032513,28.6,1672,recommended
1,CSU No. 8 Canteen,中南大学八食堂,canteen,1308886013,named_node,28.1604100,112.9317231,1659009982,29.7,1672,recommended
1,CSU No. 8 Canteen 2,中南大学八食堂 (2),canteen,381465668,named_amenity,28.1603995,112.9315823,1659009990,25.4,1672,recommended
1,No. 2 Canteen Parking Lot,二食堂停车场,canteen,970822829,named_amenity,28.1621210,112.9298100,9493016096,12.9,1672,recommended
1,CSU Student Dormitory,中南大学学生公寓,dormitory,1660229551,named_node,28.1589523,112.9317850,3860724154,35.7,1672,recommended
1,Shenghua Dormitory Buildings 37 and 38,升华公寓 37 38栋,dormitory,1029393714,named_building,28.1649852,112.9290028,9490553994,25.3,1672,recommended
1,Shenghua Dormitory Clinic,升华公寓医务室,dormitory,5724482046,named_node,28.1615004,112.9308347,9493016110,6.6,1672,recommended
1,Shenghua Student Dormitory Building 1 North,升华学生公寓 1 栋北,dormitory,381465664,named_building,28.1595894,112.9320048,3860724157,23.2,1672,recommended
1,Shenghua Student Dormitory Building 10,升华学生公寓 10 栋,dormitory,381465682,named_building,28.1607451,112.9307885,1659009981,18.7,1672,recommended
1,Shenghua Student Dormitory Building 11,升华学生公寓 11 栋,dormitory,381465663,named_building,28.1610610,112.9306349,3846693955,11.4,1672,recommended
1,Shenghua Student Dormitory Building 13,升华学生公寓 13 栋,dormitory,381465647,named_building,28.1612641,112.9297908,9490764412,32.2,1672,recommended
1,Shenghua Student Dormitory Building 14,升华学生公寓 14 栋,dormitory,381465645,named_building,28.1617155,112.9293032,1659009979,18.1,1672,recommended
1,Shenghua Student Dormitory Building 15,升华学生公寓 15 栋,dormitory,381465657,named_building,28.1620632,112.9289279,1659009962,20.4,1672,recommended
1,Shenghua Student Dormitory Building 16,升华学生公寓 16 栋,dormitory,381465678,named_building,28.1624251,112.9286621,3846694366,23.9,1672,recommended
1,Shenghua Student Dormitory Building 18,升华学生公寓 18 栋,dormitory,381465676,named_building,28.1614001,112.9307047,3846693954,19.4,1672,recommended
1,Shenghua Student Dormitory Building 2,升华学生公寓 2 栋,dormitory,381465674,named_building,28.1599323,112.9318964,3860724155,22.7,1672,recommended
1,Shenghua Student Dormitory Building 20,升华学生公寓 20 栋,dormitory,381465661,named_building,28.1619434,112.9306747,9493053148,30.9,1672,recommended
1,Shenghua Student Dormitory Building 21,升华学生公寓 21 栋,dormitory,279349826,named_building,28.1622903,112.9306683,1659009956,33.1,1672,recommended
1,Shenghua Student Dormitory Building 24,升华学生公寓 24 栋,dormitory,155469202,named_building,28.1626079,112.9307318,1659009978,34.9,1672,recommended
1,Shenghua Student Dormitory Building 25,升华学生公寓 25 栋,dormitory,381465683,named_building,28.1629407,112.9301362,1659032401,29.9,1672,recommended
1,Shenghua Student Dormitory Building 26,升华学生公寓 26 栋,dormitory,381465667,named_building,28.1629077,112.9295980,1659032472,16.1,1672,recommended
1,Shenghua Student Dormitory Building 28 North,升华学生公寓 28 栋北,dormitory,381465652,named_building,28.1634911,112.9280798,5722864488,30.7,1672,recommended
1,Shenghua Student Dormitory Building 28 South,升华学生公寓 28 栋南,dormitory,381465648,named_building,28.1631430,112.9281839,5722864491,34.6,1672,recommended
1,Shenghua Student Dormitory Building 29,升华学生公寓 29 栋,dormitory,381465654,named_building,28.1632884,112.9294187,3846694261,16.1,1672,recommended
1,Shenghua Student Dormitory Building 31,升华学生公寓 31 栋,dormitory,381465675,named_building,28.1639892,112.9292341,9490554010,38.9,1672,recommended
1,Shenghua Student Dormitory Building 5,升华学生公寓 5 栋,dormitory,381465671,named_building,28.1601728,112.9309282,1659009984,26.2,1672,recommended
1,Shenghua Student Dormitory Building 6,升华学生公寓 6 栋,dormitory,381465651,named_building,28.1603514,112.9305058,3860723208,26.1,1672,recommended
1,Shenghua Student Dormitory Building 8,升华学生公寓 8 栋,dormitory,381465639,named_building,28.1607950,112.9313778,5720359856,17.9,1672,recommended
1,Shenghua Student Dormitory Building 9,升华学生公寓 9 栋,dormitory,381465677,named_building,28.1607860,112.9317698,1659009965,21.1,1672,recommended
1,Shenghua Student Dormitory Building 17,升华学生公寓17栋,dormitory,381465672,named_building,28.1612336,112.9310810,3846694446,12.2,1672,recommended
1,Shenghua West Entrance,Shenghua West Entrance,gate,3846694426,named_node,28.1643185,112.9275197,3846694426,0.0,1672,recommended
1,East Gate Shuttle Stop,东大门;校车停靠站,gate,3860823686,named_node,28.1543327,112.9452421,9457761123,47.1,1672,recommended
1,CSU South Campus North Gate,中南大学南校区北门,gate,9336861707,named_node,28.1684180,112.9310532,9336861707,0.0,1672,recommended
1,CSU South Campus North Gate 2,中南大学南校区北门 (2),gate,9492064598,named_node,28.1684227,112.9311083,9492064598,0.0,1672,recommended
1,CSU New Campus North Gate,中南大学新校区北门,gate,5718877690,named_node,28.1545289,112.9359184,11655806637,14.2,1672,recommended
1,North Gate 1,北一门,gate,8938951568,named_node,28.1548730,112.9425501,8938951568,0.0,1672,recommended
1,South Gate,南门,gate,3861856292,named_node,28.1494978,112.9372965,3861856292,0.0,1672,recommended
1,New Campus Stadium West Gate,新校体育场“鸟巢”西门,gate,5718999075,named_node,28.1591612,112.9267032,9483371093,24.6,1672,recommended
1,CSU Library Front Square,中南大学图书馆前坪,library,382796824,named_leisure,28.1534132,112.9377863,3860902010,14.0,1672,recommended
1,CSU Library Shuttle Stop,中南大学图书馆校车停靠站,library,3860723694,named_node,28.1529323,112.9383048,3860723694,0.0,1672,recommended
1,CSU New Campus Library,中南大学新校区 图书馆,library,3860056604,named_node,28.1531281,112.9389928,9464597804,70.3,1672,recommended
1,Library Front Bicycle Parking Area,图书馆前自行车停靠点,library,5724336929,named_node,28.1531506,112.9378233,3860902011,35.6,1672,recommended
1,Huanghe Hospital,黄鹤医院,medical,3862410562,named_node,28.1477045,112.9388441,3861856319,204.9,1672,recommended
1,CSU South Campus Security Office,中南大学保卫处南校区保卫科,office,9491091572,named_node,28.1633125,112.9324056,10994902453,39.9,1672,recommended
1,China Post,中国邮政,service,1660218390,named_node,28.1603831,112.9306002,1659009980,23.6,1672,recommended
1,Chunzhiniao Supermarket,春之鸟超市,shop,1660209321,named_node,28.1609810,112.9300768,1659009971,35.6,1672,recommended
1,New Campus Stadium,新校体育场,sports,3860139781,named_node,28.1568223,112.9286506,3660285774,130.2,1672,recommended
1,CSU Comprehensive Building,中南大学综合楼,teaching_building,382863592,named_building,28.1642320,112.9305511,9512737273,37.8,1672,recommended
1,CSU Lecture Hall,中南讲堂,teaching_building,3860056591,named_node,28.1525489,112.9390736,9464597797,49.5,1672,recommended
1,Bingqing Building,兵卿楼,teaching_building,1029393717,named_building,28.1637110,112.9266231,9490554072,22.7,1672,recommended
1,Mechanical and Electrical Building Bicycle Parking Area,机电楼自行车停放处,teaching_building,3861006539,named_node,28.1511856,112.9345553,3860322247,13.9,1672,recommended
0,D座前坪,D座前坪,other,382796825,named_leisure,28.1519118,112.9376729,9464597734,17.4,1672,low_value_for_delivery_demo
0,upper seat,upper seat,other,5377819123,named_node,28.1491241,112.9355572,3861859261,59.4,1672,low_value_for_delivery_demo
0,中南大学新校区,中南大学新校区,other,3861012158,named_node,28.1545978,112.9378544,9457761206,52.0,1672,low_value_for_delivery_demo
0,中南大学新校区 (2),中南大学新校区 (2),other,9492064538,named_node,28.1547030,112.9375160,3860723300,56.7,1672,low_value_for_delivery_demo
0,丰顺路麻园路口,丰顺路麻园路口,other,9501052868,named_node,28.1492040,112.9407010,3861847069,45.0,1672,noisy_or_numeric_name
0,丰顺路麻园路口 (2),丰顺路麻园路口 (2),other,9501052869,named_node,28.1492493,112.9413935,9463877085,28.8,1672,low_value_for_delivery_demo
0,丰顺路黄鹤路口,丰顺路黄鹤路口,other,9501052872,named_node,28.1495312,112.9329109,3861856295,68.0,1672,noisy_or_numeric_name
0,后湖小区南 (2),后湖小区南 (2),other,9492064535,named_node,28.1547873,112.9346779,9467930573,49.5,1672,low_value_for_delivery_demo
0,天天向上幼稚园,天天向上幼稚园,other,3862410559,named_node,28.1475197,112.9378705,9455737121,213.6,1672,low_value_for_delivery_demo
0,左家垅西,左家垅西,other,5714522628,named_node,28.1685006,112.9304729,9492064619,44.4,1672,low_value_for_delivery_demo
0,校车停靠站,校车停靠站,other,3861006538,named_node,28.1508907,112.9361666,3860289438,10.6,1672,low_value_for_delivery_demo
0,水果店,水果店,other,5715415732,named_node,28.1622965,112.9318980,3860723703,18.4,1672,low_value_for_delivery_demo
0,沙泥塘,沙泥塘,other,5724482045,named_node,28.1582150,112.9268135,11655823331,30.7,1672,low_value_for_delivery_demo
0,淹鱼塘,淹鱼塘,other,1660236528,named_node,28.1604727,112.9297391,1659009952,43.4,1672,low_value_for_delivery_demo
0,磨子山,磨子山,other,4814789367,named_node,28.1637793,112.9274690,3846694286,32.0,1672,low_value_for_delivery_demo
0,老四川石锅鱼,老四川石锅鱼,other,4702794689,named_node,28.1618186,112.9317179,1659009957,16.0,1672,low_value_for_delivery_demo
